Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.228-3.104.37.73-52263-3000-6,192.168.0.228,52263,3.104.37.73,3000,6,31/07/2023 06:44:06 AM,9433769,7,10,1714.0,3920.0,596.0,0.0,244.85714285714283,306.0666749644749,1412.0,0.0,391.99999999999994,568.5007573531552,597.2162345717815,1.8020369165282721,589610.5625,1472334.8150921818,4956495.0,1.0,4295181.0,715863.5,1444731.380335978,3657993.0,508.0,9433769.0,1048196.5555555555,1945035.3092967304,5000448.0,1.0,0,0,0,0,140,224,0.7420152009234061,1.060021715604866,0.0,1412.0,313.0,464.231306443623,215510.70588235298,0,1,0,0,0,0,0,0,1.0,331.4117647058824,244.85714285714286,392.0,0,0,0,0,0,0,7,1714,10,3920,-1,478,3,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52265-4001-6,192.168.0.228,52265,3.104.37.73,4001,6,31/07/2023 06:44:08 AM,10258184,7,8,2288.0,1018.0,613.0,0.0,326.85714285714283,307.57407160521433,298.0,0.0,127.24999999999999,139.95381891385253,322.27926502390676,1.462247118983243,732727.4285714286,1663645.7409971962,4951546.0,79.0,5132841.0,855473.5,1708866.5863286986,4339776.0,321.0,1.0258184E7,1465454.8571428573,2271601.9350629654,5005891.0,3299.0,0,0,0,0,140,184,0.6823819888588467,0.7798651301243963,0.0,613.0,206.625,244.81390891859064,59933.84999999999,0,1,0,0,0,0,0,0,1.0,220.4,326.85714285714283,127.25,0,0,0,0,0,0,7,2288,8,1018,-1,474,4,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-75.2.36.229-52229-443-6,192.168.0.228,52229,75.2.36.229,443,6,31/07/2023 06:43:21 AM,60234269,9,14,5633.0,1814.0,1412.0,0.0,625.888888888889,725.0888642856896,1412.0,0.0,129.57142857142858,377.47332341519166,123.63394000846927,0.3818424359063775,2737921.3181818184,9962516.86805209,4.5012737E7,0.0,6.0234147E7,7529268.374999999,1.6028324964285772E7,4.5031411E7,4.0,6.0234269E7,4633405.307692307,1.2822608360765938E7,4.5045141E7,0.0,0,0,0,0,180,348,0.14941660535466947,0.23242583055170804,0.0,1412.0,369.1250000000001,609.4434604799195,371421.3315217392,0,0,0,0,1,0,0,0,1.0,385.17391304347825,625.8888888888889,129.57142857142858,0,0,0,0,0,0,9,5633,14,1814,-1,3007,7,0,143543.5,157174.9882153646,254683.0,32404.0,2.99734805E7,2.1268720510307726E7,4.5012737E7,1.4934224E7,No Label
192.168.0.228-75.2.36.229-52229-443-6,192.168.0.228,52229,75.2.36.229,443,6,31/07/2023 06:44:21 AM,359,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5571.030640668524,359.0,0.0,359.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2785.515320334262,2785.515320334262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52264-3000-6,192.168.0.228,52264,3.104.37.73,3000,6,31/07/2023 06:44:16 AM,7304624,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737991715932264,7304624.0,0.0,7304624.0,7304624.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.1368995857966132,0.1368995857966132,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52263-3000-6,192.168.0.228,52263,3.104.37.73,3000,6,31/07/2023 06:44:16 AM,7291259,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2743010500655648,7291259.0,0.0,7291259.0,7291259.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.1371505250327824,0.1371505250327824,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,510,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52265-4001-6,192.168.0.228,52265,3.104.37.73,4001,6,31/07/2023 06:44:18 AM,4576778,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43698864135424526,4576778.0,0.0,4576778.0,4576778.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.21849432067712263,0.21849432067712263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52267-3000-6,192.168.0.228,52267,3.104.37.73,3000,6,31/07/2023 06:44:23 AM,9415751,8,10,1918.0,4014.0,712.0,0.0,239.75,332.9048555625809,1412.0,0.0,401.40000000000003,572.3878250122222,630.0081639796974,1.911690315514928,553867.705882353,1437282.33888843,4955618.0,0.0,4297777.0,613968.1428571428,1358672.7152143042,3687225.0,112.0,9415751.0,1046194.5555555555,1951755.089259223,5000429.0,0.0,0,0,0,0,160,224,0.8496401402288569,1.0620501752860712,0.0,1412.0,312.2105263157895,468.0608434983365,219080.95321637424,0,1,0,0,0,0,0,0,1.0,329.55555555555554,239.75,401.4,0,0,0,0,0,0,8,1918,10,4014,-1,477,3,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52266-3000-6,192.168.0.228,52266,3.104.37.73,3000,6,31/07/2023 06:44:23 AM,9797523,8,10,1832.0,3967.0,630.0,0.0,229.0,316.45897951280466,1412.0,0.0,396.7,570.2539492775711,591.8842956530951,1.8371990553122457,576324.8823529412,1483800.3714859136,4948884.0,0.0,4675358.0,667908.2857142857,1486830.932012302,4032160.0,142.0,9797523.0,1088613.6666666667,2016262.1345962805,4999449.0,0.0,0,0,0,0,172,224,0.8165329134721092,1.0206661418401366,0.0,1412.0,305.2105263157895,462.544361709996,213947.2865497076,0,1,0,0,0,0,0,0,1.0,322.1666666666667,229.0,396.7,0,0,0,0,0,0,8,1832,10,3967,-1,478,3,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.104.37.73-52268-4001-6,192.168.0.228,52268,3.104.37.73,4001,6,31/07/2023 06:44:24 AM,9464093,7,8,2288.0,1018.0,613.0,0.0,326.85714285714283,307.57407160521433,298.0,0.0,127.24999999999999,139.95381891385253,349.3203204998091,1.5849379333022193,676006.642857143,1538467.1953979994,4953060.0,128.0,4340090.0,723348.3333333334,1378961.4027832204,3533172.0,478.0,9464093.0,1352013.285714286,2098985.7302645575,5004705.0,2321.0,0,0,0,0,140,184,0.7396377022077023,0.8453002310945169,0.0,613.0,206.625,244.81390891859064,59933.84999999999,0,1,0,0,0,0,0,0,1.0,220.4,326.85714285714283,127.25,0,0,0,0,0,0,7,2288,8,1018,-1,474,4,0,0,0,0,0,0,0,0,0,No Label
