Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.1-192.168.1.23-53-55538-6,192.168.1.23,55538,192.168.1.1,53,6,26/06/2023 04:17:03 PM,39977,4,5,34.0,50.0,32.0,0.0,8.5,15.695009822658072,50.0,0.0,10.0,22.360679774997898,2101.2081947119595,225.1294494334242,4997.125,12337.458912219903,35468.0,1.0,37652.0,12550.666666666666,21639.66876671945,37538.0,45.0,38894.0,9723.5,17187.852619413126,35468.0,1.0,0,0,0,0,80,124,100.05753308152188,125.07191635190235,0.0,50.0,8.399999999999999,17.708754896942924,313.6,0,1,0,0,0,0,0,0,1.0,9.333333333333334,8.5,10.0,0,0,0,0,0,0,4,34,5,50,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55539-6,192.168.1.23,55539,192.168.1.1,53,6,26/06/2023 04:17:03 PM,40861,4,5,34.0,103.0,32.0,0.0,8.5,15.695009822658072,103.0,0.0,20.6,46.06300033649567,3352.830327206872,220.258926604831,5107.624999999999,11595.807197154125,33652.0,0.0,37767.0,12589.0,21727.71140732498,37678.0,43.0,38643.0,9660.75,16043.714187078584,33652.0,0.0,0,0,0,0,80,124,97.89285626881377,122.36607033601723,0.0,103.0,13.7,32.931072796912574,1084.4555555555553,0,1,0,0,0,0,0,0,1.0,15.222222222222221,8.5,20.6,0,0,0,0,0,0,4,34,5,103,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55540-6,192.168.1.23,55540,192.168.1.1,53,6,26/06/2023 04:17:04 PM,34140,4,5,46.0,62.0,44.0,0.0,11.5,21.68716978615083,62.0,0.0,12.4,27.727242920997394,3163.4446397188053,263.62038664323376,4267.5,10241.76642130504,29505.0,1.0,31477.0,10492.333333333334,18005.35923921912,31283.0,33.0,33967.0,8491.75,14051.477250334452,29505.0,1.0,0,0,0,0,80,124,117.16461628588168,146.4557703573521,0.0,62.0,10.8,22.65097496062072,513.0666666666667,0,1,0,0,0,0,0,0,1.0,12.0,11.5,12.4,0,0,0,0,0,0,4,46,5,62,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55541-6,192.168.1.23,55541,192.168.1.1,53,6,26/06/2023 04:17:04 PM,34880,4,5,46.0,103.0,44.0,0.0,11.5,21.68716978615083,103.0,0.0,20.6,46.06300033649567,4271.7889908256875,258.0275229357798,4360.0,9337.367539699215,27182.0,30.0,30682.0,10227.333333333334,17608.606882241802,30560.0,55.0,33889.0,8472.25,12582.896178940682,27182.0,119.0,0,0,0,0,80,124,114.6788990825688,143.348623853211,0.0,103.0,14.900000000000002,33.877065332693086,1147.6555555555556,0,1,0,0,0,0,0,0,1.0,16.555555555555557,11.5,20.6,0,0,0,0,0,0,4,46,5,103,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55542-6,192.168.1.23,55542,192.168.1.1,53,6,26/06/2023 04:17:04 PM,32561,4,5,55.0,311.0,53.0,0.0,13.75,26.183646295604692,311.0,0.0,62.2,139.08342820048694,11240.44101839624,276.40428733761246,4070.125,10248.300366924961,29393.0,23.0,30926.0,10308.666666666666,17768.552398361924,30826.0,23.0,32330.0,8082.5,14221.151324699418,29393.0,101.0,0,0,0,0,80,124,122.84634992782777,153.5579374097847,0.0,311.0,36.599999999999994,97.83114705109683,9570.933333333332,0,1,0,0,0,0,0,0,1.0,40.666666666666664,13.75,62.2,0,0,0,0,0,0,4,55,5,311,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55543-6,192.168.1.23,55543,192.168.1.1,53,6,26/06/2023 04:17:04 PM,33797,4,5,55.0,112.0,53.0,0.0,13.75,26.183646295604692,112.0,0.0,22.4,50.08792269599529,4941.266976358848,266.29582507323136,4224.625,10331.409293128545,29742.0,28.0,32214.0,10738.0,18526.01762387157,32130.0,33.0,33037.0,8259.25,14339.442071317373,29742.0,95.0,0,0,0,0,80,124,118.35370003254727,147.9421250406841,0.0,112.0,16.700000000000003,37.36917921972003,1396.4555555555555,0,1,0,0,0,0,0,0,1.0,18.555555555555557,13.75,22.4,0,0,0,0,0,0,4,55,5,112,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55544-6,192.168.1.23,55544,192.168.1.1,53,6,26/06/2023 04:17:05 PM,30806,4,5,38.0,158.0,36.0,0.0,9.5,17.69180601295413,158.0,0.0,31.6,70.65974808899335,6362.396935661884,292.15087969876,3850.7499999999995,8863.546400042946,25697.0,21.0,29550.0,9850.0,16992.294518398627,29471.0,21.0,30648.0,7662.0,12031.320985937773,25697.0,1209.0,0,0,0,0,80,124,129.8448354216711,162.3060442770889,0.0,158.0,19.6,49.913703306584836,2491.3777777777777,0,1,0,0,0,0,0,0,1.0,21.77777777777778,9.5,31.6,0,0,0,0,0,0,4,38,5,158,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55545-6,192.168.1.23,55545,192.168.1.1,53,6,26/06/2023 04:17:05 PM,32182,4,5,38.0,112.0,36.0,0.0,9.5,17.69180601295413,112.0,0.0,22.4,50.08792269599529,4660.990615872226,279.6594369523336,4022.75,9166.572715968758,26545.0,38.0,28823.0,9607.666666666666,16565.62351175872,28736.0,38.0,31510.0,7877.5,12509.175978723246,26545.0,189.0,0,0,0,0,80,124,124.29308308992604,155.36635386240755,0.0,112.0,14.999999999999998,35.89181274639416,1288.2222222222222,0,1,0,0,0,0,0,0,1.0,16.666666666666668,9.5,22.4,0,0,0,0,0,0,4,38,5,112,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55548-6,192.168.1.23,55548,192.168.1.1,53,6,26/06/2023 04:17:05 PM,3243,4,4,75.0,0.0,73.0,0.0,18.75,36.17895336610315,0.0,0.0,0.0,0.0,23126.734505087883,2466.8516805427075,463.28571428571433,668.2825535868577,1643.0,32.0,1993.0,664.3333333333334,1070.2169561978233,1900.0,32.0,3118.0,1039.3333333333333,838.2746168967144,1785.0,132.0,0,0,0,0,80,104,1233.4258402713538,1233.4258402713538,0.0,73.0,8.333333333333334,24.259018941416407,588.5,0,1,0,0,0,0,0,0,1.0,9.375,18.75,0.0,0,0,0,0,0,0,4,75,4,0,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.23-53-55546-6,192.168.1.23,55546,192.168.1.1,53,6,26/06/2023 04:17:05 PM,46481,4,5,75.0,91.0,73.0,0.0,18.75,36.17895336610315,91.0,0.0,18.2,40.69643719049618,3571.3517351175747,193.6275037111938,5810.124999999999,14150.501772400661,40691.0,56.0,42671.0,14223.666666666666,24493.2334805622,42506.0,56.0,46297.0,11574.25,19465.778713338615,40691.0,121.0,0,0,0,0,80,124,86.05666831608615,107.57083539510768,0.0,91.0,16.599999999999998,34.734548923066335,1206.4888888888888,0,1,0,0,0,0,0,0,1.0,18.444444444444443,18.75,18.2,0,0,0,0,0,0,4,75,5,91,-1,457,2,0,0,0,0,0,0,0,0,0,No Label
