Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.228-99.83.249.255-59763-443-6,99.83.249.255,443,192.168.0.228,59763,6,01/08/2023 09:08:11 AM,0,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,2016,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-99.83.249.255-59763-443-6,192.168.0.228,59763,99.83.249.255,443,6,01/08/2023 09:08:11 AM,225,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.888888888889,225.0,0.0,225.0,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4444.444444444444,4444.444444444444,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.27.93.216-59774-3000-6,192.168.0.228,59774,3.27.93.216,3000,6,01/08/2023 09:08:10 AM,4618587,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.2165164367370367,0.6495493102111101,2309293.5,3020749.562627213,4445286.0,173301.0,0,0,0,0,0,173301.0,173301.0,0.0,173301.0,173301.0,0,0,0,0,20,40,0.2165164367370367,0.4330328734740734,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,485,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.27.93.216-59773-3000-6,192.168.0.228,59773,3.27.93.216,3000,6,01/08/2023 09:08:10 AM,4601524,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.21731930551704173,0.6519579165511252,2300762.0,3010027.7025040817,4429173.0,172351.0,0,0,0,0,0,172351.0,172351.0,0.0,172351.0,172351.0,0,0,0,0,20,40,0.21731930551704173,0.43463861103408347,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,475,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.27.93.216-59775-4000-6,192.168.0.228,59775,3.27.93.216,4000,6,01/08/2023 09:08:11 AM,3533067,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.283040202747358,0.8491206082420741,1766533.5,2251390.5146385645,3358507.0,174560.0,0,0,0,0,0,174560.0,174560.0,0.0,174560.0,174560.0,0,0,0,0,20,40,0.283040202747358,0.566080405494716,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,482,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-20.207.73.85-59686-443-6,20.207.73.85,443,192.168.0.228,59686,6,01/08/2023 09:08:17 AM,1,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,6.3E7,3000000.0,0.5,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,2000000.0,1000000.0,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,272,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-20.207.73.85-59686-443-6,192.168.0.228,59686,20.207.73.85,443,6,01/08/2023 09:08:17 AM,146,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13698.630136986301,146.0,0.0,146.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6849.315068493151,6849.315068493151,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.27.93.216-59778-3000-6,192.168.0.228,59778,3.27.93.216,3000,6,01/08/2023 09:08:15 AM,5327455,3,6,583.0,267.0,583.0,0.0,194.33333333333331,336.59520693755184,267.0,0.0,44.5,109.00229355385143,159.55085495794899,1.689361993672401,665931.875,1736087.7710158252,4958970.0,1.0,209376.0,104688.0,147682.0796779352,209115.0,261.0,5327455.0,1065491.0,2200620.3186338167,4999446.0,1.0,0,0,0,0,60,144,0.563120664557467,1.126241329114934,0.0,583.0,85.0,194.0584104507369,37658.66666666667,0,1,0,0,0,0,0,0,2.0,94.44444444444444,194.33333333333334,44.5,0,0,0,0,0,0,3,583,6,267,-1,486,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-3.27.93.216-59777-3000-6,192.168.0.228,59777,3.27.93.216,3000,6,01/08/2023 09:08:14 AM,5712305,6,11,1588.0,4053.0,585.0,0.0,264.6666666666667,292.0449737055351,1412.0,0.0,368.4545454545454,550.8833567346836,987.5172981834829,2.9760315669418915,357019.0625,1240379.3237726633,5000309.0,0.0,545245.0,109049.0,89519.22524798794,178785.0,624.0,5712305.0,571230.5,1558745.352984412,5000337.0,0.0,0,0,0,0,120,244,1.0503640824500793,1.925667484491812,0.0,1412.0,313.38888888888886,460.6252960907518,212175.66339869276,0,1,0,0,0,0,0,0,1.0,331.8235294117647,264.6666666666667,368.45454545454544,0,0,0,0,0,0,6,1588,11,4053,-1,479,3,0,0,0,0,0,0,0,0,0,No Label
172.217.163.195-192.168.0.228-80-59662-6,172.217.163.195,80,192.168.0.228,59662,6,01/08/2023 09:08:16 AM,11397435,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.26321711858852453,5698717.5,8059145.593876841,1.1397394E7,41.0,0,0,0,0,0,1.1397435E7,5698717.5,8059145.593876841,1.1397394E7,41.0,0,0,0,0,0,60,0.0,0.26321711858852453,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
