Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.228-99.83.249.255-49807-443-6,99.83.249.255,443,192.168.0.228,49807,6,06/07/2023 02:57:41 AM,192,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,328125.0,10416.666666666666,192.0,0.0,192.0,192.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,5208.333333333333,5208.333333333333,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,2016,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-99.83.249.255-49807-443-6,192.168.0.228,49807,99.83.249.255,443,6,06/07/2023 02:57:41 AM,324,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6172.839506172839,324.0,0.0,324.0,324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3086.4197530864194,3086.4197530864194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-52.95.34.223-49844-443-6,192.168.0.228,49844,52.95.34.223,443,6,06/07/2023 02:58:01 AM,8500275,11,20,1274.0,6720.0,631.0,0.0,115.81818181818181,231.0354164113451,1360.0,0.0,336.0,513.2057143711066,940.4401622300454,3.6469408342671263,283342.49999999994,1134798.3457893257,5978859.0,0.0,6372435.0,637243.4999999999,1894429.7725624896,6026784.0,264.0,8500275.0,447382.8947368421,1417039.698064513,5978912.0,0.0,0,0,0,0,244,424,1.2940757799012383,2.352865054365888,0.0,1360.0,249.81249999999994,437.9743281252615,191821.5120967742,0,1,0,0,0,0,0,0,1.0,257.8709677419355,115.81818181818181,336.0,0,0,0,0,0,0,11,1274,20,6720,-1,32748,3,0,486781.0,0.0,486781.0,486781.0,5978859.0,0.0,5978859.0,5978859.0,No Label
192.168.0.228-52.95.34.223-49845-443-6,192.168.0.228,49845,52.95.34.223,443,6,06/07/2023 02:58:01 AM,8896520,21,22,10149.0,6337.0,1360.0,0.0,483.2857142857144,643.7240979532414,1360.0,0.0,288.0454545454545,498.6412468635072,1853.0841272767327,4.833350568536911,211821.90476190473,972922.0759033022,6041077.0,0.0,6745669.0,337283.45,1354371.0283741334,6081156.0,11.0,8896520.0,423643.80952380947,1361814.2267204297,6041283.0,0.0,0,0,0,0,480,464,2.3604735334715143,2.4728770350653964,0.0,1360.0,374.6818181818181,571.8660915270967,327030.82663847774,0,1,0,0,0,0,0,0,1.0,383.3953488372093,483.2857142857143,288.04545454545456,0,0,0,0,0,0,21,10149,22,6337,-1,32609,9,0,807680.0,0.0,807680.0,807680.0,6041077.0,0.0,6041077.0,6041077.0,No Label
192.168.0.228-35.186.224.47-49852-443-6,192.168.0.228,49852,35.186.224.47,443,6,06/07/2023 02:58:13 AM,225094,10,10,936.0,3745.0,426.0,0.0,93.6,166.33580492485675,1412.0,0.0,374.5,573.8631757173869,20795.75643953193,88.85176859445387,11847.052631578947,23922.41752804187,101901.0,1.0,201102.0,22344.666666666664,41215.74861020967,129222.0,85.0,224913.0,24990.333333333336,32440.18983837795,101901.0,1.0,0,0,0,0,212,224,44.425884297226936,44.425884297226936,0.0,1412.0,222.90476190476198,427.7600851834945,182978.69047619047,0,1,0,0,0,0,0,0,1.0,234.05,93.6,374.5,0,0,0,0,0,0,10,936,10,3745,-1,265,5,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-35.186.224.47-49852-443-6,35.186.224.47,443,192.168.0.228,49852,6,06/07/2023 02:58:13 AM,99300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14098690835851,99300.0,0.0,99300.0,99300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10.070493454179255,10.070493454179255,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,265,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-35.186.224.47-49854-443-6,192.168.0.228,49854,35.186.224.47,443,6,06/07/2023 02:58:14 AM,67647,8,6,552.0,3356.0,426.0,0.0,69.0,146.9081345603435,1412.0,0.0,559.3333333333334,691.8654975258318,57770.48501781306,206.95670170147974,5203.615384615385,9420.484935664243,27184.0,2.0,43714.0,6244.857142857143,11091.593099108464,30149.0,26.0,57743.0,11548.6,13300.577329574833,28103.0,2.0,0,0,0,0,172,144,118.26097240084557,88.69572930063417,0.0,1412.0,260.5333333333334,495.80452177196184,245822.1238095238,0,1,0,0,0,0,0,0,0.0,279.14285714285717,69.0,559.3333333333334,0,0,0,0,0,0,8,552,6,3356,-1,261,4,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-104.199.240.237-49853-4070-6,192.168.0.228,49853,104.199.240.237,4070,6,06/07/2023 02:58:13 AM,892718,10,13,706.0,8532.0,452.0,0.0,70.6,151.55431736216264,1240.0,0.0,656.3076923076923,579.4397271812638,10348.172659227213,25.76401506410759,40578.090909090904,58593.15248787637,173503.0,0.0,766960.0,85217.77777777778,79404.893498099,177859.0,1329.0,748738.0,62394.83333333334,71954.8888866974,188501.0,0.0,0,0,0,0,212,284,11.201745680046779,14.562269384060812,0.0,1240.0,384.9166666666667,524.5836375199127,275187.9927536232,0,1,0,0,0,0,0,0,1.0,401.6521739130435,70.6,656.3076923076923,0,0,0,0,0,0,10,706,13,8532,-1,16,3,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-34.98.74.57-49851-443-6,192.168.0.228,49851,34.98.74.57,443,6,06/07/2023 02:58:13 AM,1168433,6,7,581.0,3997.0,517.0,0.0,96.83333333333334,207.42460477645045,1412.0,0.0,571.0,631.5544315417318,3918.0680449799,11.126012360143884,97369.41666666667,297533.7195330544,1040889.0,2.0,1143872.0,228774.4,454918.42917417624,1040889.0,1288.0,79762.0,13293.666666666666,13580.146238780591,26357.0,2.0,0,0,0,0,120,164,5.135082627758716,5.990929732385169,0.0,1412.0,327.0,515.1424000290524,265371.69230769225,0,1,0,0,0,0,0,0,1.0,352.15384615384613,96.83333333333333,571.0,0,0,0,0,0,0,6,581,7,3997,-1,261,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.228-13.248.161.58-49818-443-6,192.168.0.228,49818,13.248.161.58,443,6,06/07/2023 02:58:10 AM,15016132,0,4,0.0,64.0,0,0,0,0,63.0,0.0,16.0,31.336879231984796,4.262082938535703,0.26638018365848143,5005377.333333334,8652306.774009883,1.4996194E7,6.0,0,0,0,0,0,1.5016132E7,5005377.333333334,8652306.774009883,1.4996194E7,6.0,0,0,0,0,0,92,0.0,0.26638018365848143,0.0,63.0,13.0,27.955321496988727,781.5,0,0,0,0,1,0,0,0,0.0,16.25,0.0,16.0,0,0,0,0,0,0,0,0,4,64,-1,1458,0,0,19932.0,0.0,19932.0,19932.0,1.4996194E7,0.0,1.4996194E7,1.4996194E7,No Label
