Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.29.47-13.211.147.191-50801-3000-6,192.168.29.47,50801,13.211.147.191,3000,6,29/07/2023 05:02:54 AM,153859,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.998914590631683,153859.0,0.0,153859.0,153859.0,0,0,0,0,0,153859.0,153859.0,0.0,153859.0,153859.0,0,0,0,0,0,40,0.0,12.998914590631683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,491,0,0,0,0,0,0,0,0,0,0,No Label
192.168.29.47-13.211.147.191-50803-3000-6,192.168.29.47,50803,13.211.147.191,3000,6,29/07/2023 05:02:54 AM,153809,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.003140258372397,153809.0,0.0,153809.0,153809.0,0,0,0,0,0,153809.0,153809.0,0.0,153809.0,153809.0,0,0,0,0,0,40,0.0,13.003140258372397,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,491,0,0,0,0,0,0,0,0,0,0,No Label
192.168.29.155-192.168.29.47-8009-50774-6,192.168.29.47,50774,192.168.29.155,8009,6,29/07/2023 05:02:46 AM,10001925,1,2,0.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,55.0,77.78174593052023,10.997882907540298,0.29994226111473543,5000962.5,7007652.354408322,9956121.0,45804.0,0,0,0,0,0,45804.0,45804.0,0.0,45804.0,45804.0,0,1,0,0,20,40,0.0999807537049118,0.1999615074098236,0.0,110.0,55.00000000000001,63.50852961085884,4033.3333333333335,0,0,0,1,1,0,0,0,2.0,73.33333333333333,0.0,55.0,0,0,0,0,0,0,1,0,2,110,-1,1419,0,0,0,0,0,0,0,0,0,0,No Label
192.168.29.155-192.168.29.47-8009-50774-6,192.168.29.47,50774,192.168.29.155,8009,6,29/07/2023 05:02:56 AM,608723,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2855666698974737,608723.0,0.0,608723.0,608723.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.6427833349487369,1.6427833349487369,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.29.47-75.2.36.229-50809-443-6,192.168.29.47,50809,75.2.36.229,443,6,29/07/2023 05:02:51 AM,14591217,0,3,0.0,64.0,0,0,0,0,63.0,0.0,21.333333333333336,36.08785575970583,4.3862002737674315,0.20560313783284834,7295608.5,1.031754707225087E7,1.4591216E7,1.0,0,0,0,0,0,1.4591217E7,7295608.5,1.031754707225087E7,1.4591216E7,1.0,0,0,0,0,0,60,0.0,0.20560313783284834,0.0,63.0,16.25,31.170231525180135,971.5833333333335,0,0,0,0,1,0,0,0,0.0,21.666666666666668,0.0,21.333333333333332,0,0,0,0,0,0,0,0,3,64,-1,261,0,0,0,0,0,0,1.4591216E7,0.0,1.4591216E7,1.4591216E7,No Label
192.168.29.47-75.2.36.229-50809-443-6,192.168.29.47,50809,75.2.36.229,443,6,29/07/2023 05:03:06 AM,22656,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,88.2768361581921,22656.0,0.0,22656.0,22656.0,0,0,0,0,0,22656.0,22656.0,0.0,22656.0,22656.0,0,0,0,0,0,40,0.0,88.2768361581921,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
192.168.29.47-75.2.36.229-50809-443-6,192.168.29.47,50809,75.2.36.229,443,6,29/07/2023 05:03:06 AM,15811228,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12649238882647193,1.5811228E7,0.0,1.5811228E7,1.5811228E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.06324619441323596,0.06324619441323596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.29.47-52.109.124.112-50813-443-6,192.168.29.47,50813,52.109.124.112,443,6,29/07/2023 05:03:41 AM,10673872,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873734292485426,1.0673872E7,0.0,1.0673872E7,1.0673872E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0936867146242713,0.0936867146242713,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
162.159.138.232-192.168.29.47-443-50796-6,192.168.29.47,50796,162.159.138.232,443,6,29/07/2023 05:03:54 AM,313,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,99041.53354632587,6389.776357827475,313.0,0.0,313.0,313.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,3194.8881789137376,3194.8881789137376,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
162.159.138.232-192.168.29.47-443-50796-6,162.159.138.232,443,192.168.29.47,50796,6,29/07/2023 05:03:54 AM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
